Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,Education Level (ord),Industry Growth Rate (ord)
Medicine,Business Analyst,48.0,Male,7.0,High School,High,7.0,10.0,83.0,198266.0,8.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0
Education,Economist,44.0,Male,26.0,Master's,Low,10.0,3.0,55.0,96803.0,9.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,9.0,0.0,2.0,0.0
Education,Biologist,21.0,Female,27.0,Master's,High,8.0,3.0,78.0,65920.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0
Education,Business Analyst,33.0,Male,14.0,PhD,Medium,7.0,9.0,50.0,85591.0,5.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,3.0,1.0
Arts,Doctor,28.0,Female,0.0,PhD,Low,3.0,1.0,8.0,43986.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0,3.0,0.0
Medicine,Lawyer,56.0,Male,39.0,Bachelor's,Low,3.0,1.0,99.0,143252.0,3.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,1.0,0.0
Medicine,Software Developer,51.0,Female,29.0,High School,Low,7.0,4.0,13.0,92623.0,7.0,0.0,6.0,1.0,0.0,1.0,4.0,1.0,10.0,0.0,0.0,0.0
Medicine,Artist,58.0,Female,32.0,High School,High,9.0,4.0,77.0,85016.0,3.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,2.0
Computer Science,Software Developer,31.0,Female,38.0,Bachelor's,Low,1.0,5.0,56.0,123264.0,1.0,1.0,6.0,1.0,0.0,0.0,10.0,1.0,7.0,1.0,1.0,0.0
Business,Doctor,30.0,Female,16.0,Master's,Medium,8.0,5.0,98.0,119045.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0
Business,Doctor,52.0,Female,38.0,Bachelor's,High,9.0,9.0,50.0,77254.0,10.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,2.0
Arts,Artist,54.0,Male,15.0,Master's,Medium,8.0,1.0,24.0,190371.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0
Mechanical Engineering,Economist,54.0,Female,35.0,High School,High,5.0,4.0,8.0,116416.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0
Biology,Software Developer,47.0,Male,32.0,High School,High,3.0,4.0,35.0,139616.0,1.0,1.0,5.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0,0.0,2.0
Computer Science,Business Analyst,40.0,Female,22.0,High School,Low,2.0,9.0,95.0,184165.0,10.0,1.0,8.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
Law,Software Developer,28.0,Male,38.0,High School,Medium,7.0,10.0,99.0,59592.0,8.0,1.0,10.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0
Mechanical Engineering,Doctor,41.0,Male,24.0,Bachelor's,Low,6.0,10.0,58.0,61024.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,1.0,0.0
Economics,Business Analyst,49.0,Male,34.0,Master's,High,2.0,10.0,30.0,116672.0,8.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,10.0,1.0,2.0,2.0
Education,Software Developer,53.0,Female,24.0,PhD,High,5.0,1.0,16.0,174572.0,7.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,3.0,2.0
Computer Science,Business Analyst,24.0,Female,15.0,Bachelor's,Medium,5.0,7.0,99.0,86573.0,5.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,1.0,1.0
Biology,Business Analyst,35.0,Female,15.0,Master's,Medium,1.0,4.0,24.0,41938.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0
Mechanical Engineering,Psychologist,42.0,Male,25.0,PhD,High,10.0,10.0,90.0,95953.0,3.0,0.0,4.0,0.0,1.0,1.0,5.0,0.0,9.0,0.0,3.0,2.0
Business,Teacher,56.0,Male,23.0,PhD,Low,1.0,3.0,36.0,67841.0,1.0,0.0,8.0,1.0,0.0,1.0,9.0,2.0,9.0,1.0,3.0,0.0
Computer Science,Software Developer,39.0,Female,24.0,Bachelor's,High,3.0,1.0,99.0,177851.0,9.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,2.0
Arts,Business Analyst,40.0,Female,22.0,PhD,High,7.0,5.0,42.0,51689.0,7.0,1.0,10.0,0.0,0.0,1.0,9.0,1.0,10.0,1.0,3.0,2.0
Computer Science,Economist,26.0,Female,12.0,PhD,Medium,9.0,2.0,27.0,49065.0,2.0,0.0,5.0,0.0,0.0,1.0,7.0,0.0,4.0,1.0,3.0,1.0
Business,Economist,50.0,Male,38.0,Master's,Medium,10.0,3.0,39.0,45485.0,3.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,2.0,1.0
Arts,Software Developer,44.0,Female,32.0,Bachelor's,High,6.0,10.0,44.0,159695.0,5.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,2.0
Biology,Economist,22.0,Female,22.0,High School,Low,10.0,8.0,76.0,53959.0,5.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0
Computer Science,Artist,52.0,Male,19.0,High School,High,3.0,6.0,82.0,86178.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
Mechanical Engineering,Software Developer,30.0,Male,25.0,Master's,High,6.0,1.0,77.0,181456.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,2.0,5.0,0.0,2.0,2.0
Medicine,Biologist,56.0,Female,9.0,Master's,High,5.0,9.0,2.0,75106.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,2.0,2.0
Psychology,Mechanical Engineer,31.0,Male,4.0,Bachelor's,Medium,9.0,1.0,47.0,45254.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0
Mechanical Engineering,Business Analyst,57.0,Male,23.0,Master's,Medium,7.0,10.0,51.0,73088.0,5.0,0.0,10.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0
Psychology,Artist,42.0,Male,15.0,Master's,Low,6.0,8.0,4.0,155827.0,8.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,10.0,0.0,2.0,0.0
Economics,Biologist,25.0,Male,4.0,High School,Medium,2.0,1.0,78.0,121865.0,9.0,0.0,9.0,1.0,1.0,0.0,10.0,0.0,8.0,1.0,0.0,1.0
Computer Science,Psychologist,34.0,Male,21.0,Bachelor's,Medium,7.0,8.0,2.0,177820.0,10.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,1.0
Psychology,Psychologist,34.0,Female,24.0,Master's,High,10.0,7.0,57.0,80448.0,7.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0
Economics,Mechanical Engineer,27.0,Female,18.0,Bachelor's,High,5.0,6.0,52.0,78447.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,1.0,2.0
Medicine,Artist,22.0,Male,30.0,PhD,High,4.0,8.0,95.0,46389.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,8.0,1.0,3.0,2.0
Education,Psychologist,24.0,Female,25.0,Bachelor's,Low,4.0,1.0,20.0,198048.0,1.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,8.0,1.0,1.0,0.0
Education,Biologist,42.0,Female,1.0,High School,Medium,4.0,1.0,63.0,138872.0,1.0,0.0,8.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0
Law,Artist,53.0,Female,34.0,Master's,High,8.0,6.0,60.0,167023.0,8.0,1.0,5.0,1.0,0.0,0.0,10.0,1.0,4.0,1.0,2.0,2.0
Arts,Teacher,44.0,Female,39.0,PhD,Low,8.0,3.0,38.0,132974.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,3.0,0.0
Psychology,Doctor,27.0,Female,14.0,Master's,High,1.0,4.0,94.0,170518.0,4.0,1.0,9.0,1.0,0.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
Education,Software Developer,57.0,Male,30.0,Master's,High,8.0,4.0,56.0,159038.0,8.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0,5.0,0.0,2.0,2.0
Business,Teacher,59.0,Female,5.0,High School,Low,10.0,10.0,13.0,103319.0,2.0,0.0,8.0,0.0,1.0,1.0,5.0,2.0,10.0,0.0,1.0,0.0
